step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,CASH_OUT,82940.31,C1528834618,3017.87,0,C476800120,132372,49864.36,0,0
1,DEBIT,4510.22,C280615803,10256,5745.78,C1254526270,10697,0,0,0
1,DEBIT,8727.74,C166694583,882770,874042.26,C1129670968,12636,0,0,0
1,PAYMENT,2599.46,C885910946,874042.26,871442.79,M1860591867,0,0,0,0
1,DEBIT,4874.49,C811207775,153,0,C1971489295,253104,0,0,0
1,PAYMENT,6440.78,C1161148117,2192,0,M516875052,0,0,0,0
1,PAYMENT,4910.14,C1131592118,41551,36640.86,M589987187,0,0,0,0
1,PAYMENT,6444.64,C1262609629,12019,5574.36,M587180314,0,0,0,0
1,DEBIT,5149.66,C1955990522,4782,0,C1330106945,52752,24044.18,0,0
1,PAYMENT,7292.16,C69673470,216827,209534.84,M1082411691,0,0,0,0
1,CASH_OUT,47458.86,C527211736,209534.84,162075.98,C2096057945,52120,0,0,0
1,CASH_OUT,136872.92,C1533123860,162075.98,25203.05,C766572210,217806,0,0,0
1,CASH_OUT,94253.33,C1718906711,25203.05,0,C977993101,99773,965870.05,0,0
1,PAYMENT,2998.04,C71802912,12030,9031.96,M2134271532,0,0,0,0
1,PAYMENT,3454.08,C686349795,9031.96,5577.88,M1831010686,0,0,0,0
1,PAYMENT,4316.2,C1423768154,10999,6682.8,M404222443,0,0,0,0
1,PAYMENT,2131.84,C1987977423,224,0,M61073295,0,0,0,0
1,PAYMENT,12986.61,C807322507,23350,10363.39,M396485834,0,0,0,0
1,TRANSFER,42712.39,C283039401,10363.39,0,C1330106945,57901.66,24044.18,0,0
1,TRANSFER,77957.68,C207471778,0,0,C1761291320,94900,22233.65,0,0
1,TRANSFER,17231.46,C1243171897,0,0,C783286238,24672,0,0,0
1,TRANSFER,78766.03,C1376151044,0,0,C1749186397,103772,277515.05,0,0
1,TRANSFER,224606.64,C873175411,0,0,C766572210,354678.92,0,0,0
1,TRANSFER,125872.53,C1443967876,0,0,C392292416,348512,3420103.09,0,0
1,TRANSFER,379856.23,C1449772539,0,0,C1590550415,900180,1.92E+07,0,0
1,TRANSFER,1505626.01,C926859124,0,0,C665576141,29031,5515763.34,0,0
1,TRANSFER,554026.99,C1603696865,0,0,C766572210,579285.56,0,0,0
1,TRANSFER,147543.1,C12905860,0,0,C1359044626,223220,16518.36,0,0
1,TRANSFER,761507.39,C412788346,0,0,C1590550415,1280036.23,1.92E+07,0,0
1,TRANSFER,1429051.47,C1520267010,0,0,C1590550415,2041543.62,1.92E+07,0,0
1,TRANSFER,358831.92,C908084672,0,0,C392292416,474384.53,3420103.09,0,0
1,TRANSFER,367768.4,C288306765,0,0,C1359044626,370763.1,16518.36,0,0
1,TRANSFER,209711.11,C1556867940,0,0,C1509514333,399214.71,2415.16,0,0
1,TRANSFER,583848.46,C1839168128,0,0,C1286084959,667778,2107778.11,0,0
1,TRANSFER,1724887.05,C1495608502,0,0,C1590550415,3470595.1,1.92E+07,0,0
1,TRANSFER,710544.77,C835773569,0,0,C1359044626,738531.5,16518.36,0,0
1,TRANSFER,581294.26,C843299092,0,0,C1590550415,5195482.15,1.92E+07,0,0
1,TRANSFER,11996.58,C605982374,0,0,C1225616405,40255,0,0,0
1,PAYMENT,2875.1,C1412322831,15443,12567.9,M1651262695,0,0,0,0
1,PAYMENT,8586.98,C1305004711,3763,0,M494077446,0,0,0,0
1,PAYMENT,871.75,C1003206025,19869,18997.25,M989889899,0,0,0,0
1,PAYMENT,1035.36,C806813022,71636,70600.64,M902860396,0,0,0,0
1,PAYMENT,1063.53,C1406206626,83084,82020.47,M1816522350,0,0,0,0
1,PAYMENT,1019.9,C1799230133,204237,203217.1,M1521238608,0,0,0,0
1,PAYMENT,4059.38,C20156341,26304,22244.62,M1111897955,0,0,0,0
1,PAYMENT,1876.44,C1509309988,182,0,M1643141512,0,0,0,0
1,CASH_OUT,28404.6,C2091072548,0,0,C1282788025,51744,0,0,0
1,CASH_OUT,75405.1,C263053820,0,0,C1870252780,104209,46462.23,0,0
1,CASH_OUT,50101.88,C1740826931,0,0,C97730845,67684,9940339.29,0,0
1,CASH_OUT,14121.82,C69062746,0,0,C100555887,52679,10963.66,0,0
1,CASH_OUT,78292.91,C1631227617,0,0,C1983747920,121112,95508.95,0,0
1,CASH_OUT,176149.9,C24650043,0,0,C736709391,259813,46820.71,0,0
1,CASH_OUT,212228.35,C1896074070,0,0,C401424608,429747,1178808.14,0,0
1,CASH_OUT,85423.63,C460741164,0,0,C1590550415,5776776.41,1.92E+07,0,0
1,CASH_OUT,11648.5,C781091365,0,0,C985934102,260976,971418.91,0,0
1,PAYMENT,6165.58,C1858015030,20925,14759.42,M25764044,0,0,0,0
1,PAYMENT,3705.83,C671596011,41903.46,38197.63,M1925352804,0,0,0,0
1,CASH_OUT,419801.4,C1687354037,38197.63,0,C33524623,499962,1517262.16,0,0
1,CASH_OUT,335416.51,C743778731,144478,0,C575335780,295,52415.15,0,0
1,PAYMENT,3372.29,C967323951,41398,38025.71,M1600594643,0,0,0,0
1,PAYMENT,661.43,C743648472,14078,13416.57,M692998280,0,0,0,0
1,DEBIT,864.68,C1368862151,69836,68971.32,C20671747,12040,43691.09,0,0
1,PAYMENT,1203.44,C922807452,29941,28737.56,M33563464,0,0,0,0
1,TRANSFER,330757.04,C1494346128,103657,0,C564160838,79676,1254956.07,0,0
1,PAYMENT,1915.43,C822087264,11450,9534.57,M30699728,0,0,0,0
1,PAYMENT,8.73,C38603201,81313,81304.27,M1422273905,0,0,0,0
1,DEBIT,3058.8,C1694784135,18138,15079.2,C801197928,11054,8917.54,0,0
1,PAYMENT,5154.97,C1207231495,9476,4321.03,M756936249,0,0,0,0
1,PAYMENT,5213.25,C1221981006,36380,31166.75,M264394929,0,0,0,0
1,PAYMENT,5392.75,C1878413714,50757,45364.25,M769132147,0,0,0,0
1,PAYMENT,25.12,C1257299717,61663,61637.88,M1474957626,0,0,0,0
1,PAYMENT,17150.89,C181252244,61637.88,44486.99,M1733022752,0,0,0,0
1,TRANSFER,679502.24,C722417467,290,0,C451111351,171866,3940085.21,0,0
1,TRANSFER,177652.91,C753631393,23720,0,C716157500,55,4894.45,0,0
1,PAYMENT,5443.26,C1262869688,236997,231553.74,M1914108708,0,0,0,0
1,PAYMENT,244.87,C544386226,257978.49,257733.62,M1357700757,0,0,0,0
1,PAYMENT,8281.57,C900298796,257733.62,249452.05,M1889757798,0,0,0,0
1,PAYMENT,1175.59,C1166106620,20509,19333.41,M1932470703,0,0,0,0
1,PAYMENT,1097.74,C221861886,24866,23768.26,M1713568869,0,0,0,0
1,TRANSFER,184986.8,C697508322,39588,0,C1688019098,52340,97263.78,0,0
1,PAYMENT,1718.29,C603658030,117811,116092.71,M1689924104,0,0,0,0
1,PAYMENT,3671.32,C361380654,100094,96422.68,M631673932,0,0,0,0
1,DEBIT,3580.26,C1579132337,2565,0,C1321640594,21185,18910.85,0,0
1,PAYMENT,8550.9,C1795225096,40060,31509.1,M790094605,0,0,0,0
1,PAYMENT,9753.55,C1048712791,60829,51075.45,M487792155,0,0,0,0
1,PAYMENT,3026.98,C1909398279,31139,28112.02,M1632670136,0,0,0,0
1,CASH_OUT,467177.03,C1338905451,28112.02,0,C1170794006,975121,22190.99,0,0
1,DEBIT,3875.99,C1252540239,259138,255262.01,C1509514333,608925.82,2415.16,0,0
1,PAYMENT,2148.89,C1136005694,31213,29064.11,M638486177,0,0,0,0
1,PAYMENT,466.97,C426019904,80030,79563.03,M314411620,0,0,0,0
1,CASH_OUT,154139.72,C1642679791,79563.03,0,C564160838,410433.04,1254956.07,0,0
1,CASH_OUT,82685.93,C855700733,0,0,C392292416,833216.44,3420103.09,0,0
1,CASH_OUT,83857.23,C247162961,0,0,C1297685781,215457.59,16997.22,0,0
1,CASH_OUT,99109.77,C1890266440,0,0,C1297685781,299314.82,16997.22,0,0
1,CASH_OUT,187726.67,C1527152775,0,0,C747464370,190573,1567434.81,0,0
1,CASH_OUT,281339.92,C1863655430,0,0,C1509514333,612801.81,2415.16,0,0
1,CASH_OUT,186447.51,C976827477,0,0,C1590550415,5862200.03,1.92E+07,0,0
1,CASH_OUT,81029.86,C324112183,0,0,C288665596,105343,8496.61,0,0
1,CASH_OUT,139054.95,C2092709730,0,0,C1749186397,182538.03,277515.05,0,0
1,CASH_OUT,154716.2,C980364771,0,0,C453211571,187433,3461666.05,0,0
1,CASH_OUT,53631.83,C1233595751,0,0,C757108857,83244,0,0,0
1,CASH_OUT,289645.52,C1446001495,0,0,C1023714065,871442.79,1412484.09,0,0
1,CASH_OUT,267148.82,C1261044180,0,0,C401424608,641975.35,1178808.14,0,0
1,CASH_OUT,47913.58,C141110631,0,0,C240650537,51304,0,0,0
1,CASH_OUT,193605.38,C2029372696,0,0,C1971489295,249452.05,0,0,0
1,CASH_OUT,344464.4,C793293778,0,0,C766572210,1133312.56,0,0,0
1,CASH_OUT,169409.87,C888611662,0,0,C401424608,909124.16,1178808.14,0,0
1,CASH_OUT,25793.74,C1966355106,0,0,C476800120,215312.31,49864.36,0,0
1,CASH_OUT,114712.48,C599782425,0,0,C1209271652,145400,0,0,0
1,CASH_OUT,89038.75,C1233327519,0,0,C2083562754,189808,1186556.81,0,0
1,CASH_OUT,1341.58,C1155769010,0,0,C557041912,80341,557537.26,0,0
1,CASH_OUT,44443.08,C269892014,0,0,C1590550415,6048647.54,1.92E+07,0,0
1,CASH_OUT,34729.64,C1280641161,0,0,C1435804085,44853,96.88,0,0
1,CASH_OUT,105979.34,C489411441,0,0,C736709391,435962.9,46820.71,0,0
1,CASH_OUT,57794.61,C1141113940,0,0,C240650537,99217.58,0,0,0
1,CASH_OUT,15918.79,C1711185459,0,0,C1854778591,24553,0,0,0
1,CASH_OUT,19162.08,C25936709,0,0,C885951223,60169,215851.28,0,0
1,CASH_OUT,220691.42,C1123559518,0,0,C1590550415,6093090.62,1.92E+07,0,0
1,CASH_OUT,9536.54,C649769713,0,0,C1060830840,49161,130747.56,0,0
1,CASH_OUT,29784.06,C925150995,0,0,C920011586,63553,0,0,0
1,CASH_OUT,190445.51,C1760219993,0,0,C1360767589,203679,2107965.39,0,0
1,CASH_OUT,57279.11,C1800649922,0,0,C824009085,127206.9,64106.18,0,0
1,CASH_OUT,112086.81,C403547747,0,0,C1531333864,292728,55974.56,0,0
1,CASH_OUT,80311.89,C172215878,0,0,C434091818,87408,63112.23,0,0
1,CASH_OUT,151829.91,C873309260,0,0,C1023714065,1161088.31,1412484.09,0,0
1,CASH_OUT,26004.52,C1112456099,0,0,C1225616405,52251.58,0,0,0
1,CASH_OUT,3146.16,C923083575,0,0,C1504109395,9471,593737.38,0,0
1,CASH_OUT,296752.75,C589363823,0,0,C1531333864,404814.81,55974.56,0,0
1,CASH_OUT,191702.06,C2052457859,0,0,C985934102,272624.5,971418.91,0,0
1,CASH_OUT,365510.05,C1299327689,0,0,C564160838,564572.76,1254956.07,0,0
1,CASH_OUT,202332.08,C1408279755,0,0,C453211571,342149.2,3461666.05,0,0
1,CASH_OUT,55105.9,C2007486296,0,0,C932583850,317952.89,2719172.89,0,0
1,CASH_OUT,171508.59,C1033348658,0,0,C1971489295,443057.43,0,0,0
1,CASH_OUT,178439.26,C1634723627,0,0,C2083562754,278846.75,1186556.81,0,0
1,CASH_OUT,88834.86,C938463537,0,0,C985934102,464326.57,971418.91,0,0
1,CASH_OUT,210370.09,C2121995675,0,0,C1170794006,1442298.03,22190.99,0,0
1,CASH_OUT,36437.06,C2120063568,0,0,C1740000325,154606,1363368.51,0,0
1,CASH_OUT,82691.56,C1620409359,0,0,C248609774,657983.89,6453430.91,0,0
1,CASH_OUT,338767.1,C691691381,0,0,C453211571,544481.28,3461666.05,0,0
1,CASH_OUT,187728.59,C264978436,0,0,C1360767589,394124.51,2107965.39,0,0
1,CASH_OUT,271002.7,C500618423,0,0,C451111351,851368.24,3940085.21,0,0
